date,RF,MKT,SMB,HML,UMD
1995/1/3,0.000182,-0.009724203,0.001605119,-0.001591784,0
1995/1/4,0.000182,0.023003754,-0.004302567,0.006381524,0
1995/1/5,0.000182,-0.009166381,-0.004227514,0.004423311,0
1995/1/6,0.000182,-0.007825178,0.003721471,0.00637456,0
1995/1/9,0.000182,-0.027511626,0.001165193,0.005851101,0
1995/1/10,0.000182,-0.02841964,0.003651055,0.00273764,0
1995/1/11,0.000182,0.006876973,-0.003397257,0.004080343,0
1995/1/12,0.000182,-0.019656471,0.002372224,0.002309631,0
1995/1/13,0.000182,-0.009658379,0.001320313,-0.001668194,0
1995/1/16,0.000182,-0.014318415,-0.00582066,-0.019724118,0
1995/1/17,0.000182,-0.001752966,-0.00235552,0.002205323,0
1995/1/18,0.000182,0.012601749,0.001230518,0.003554954,0
1995/1/19,0.000182,-0.041592869,-0.006611874,0.004561878,0
1995/1/20,0.000182,-0.000255691,0.001279906,-0.001464133,0
1995/1/23,0.000182,-0.029827604,-0.005253645,-0.005710821,0
1995/1/24,0.000182,-0.005546821,-0.002216677,0.003657002,0
1995/1/25,0.000182,0.016003351,0.00290539,0.002120614,0
1995/1/26,0.000182,-0.006812771,-0.003565139,-0.00314528,0
1995/1/27,0.000182,0.015444679,-0.001516429,-0.001141266,0
1995/2/6,0.000182,-0.043923791,-0.002105698,0.018461748,-0.035137722
1995/2/7,0.000182,-0.004985398,-0.001237529,0.000896735,-0.007882739
1995/2/8,0.000182,0.001870737,0.000280706,0.001540767,-0.000587058
1995/2/9,0.000182,0.032808154,-0.00719265,-0.007420569,0.019811439
1995/2/10,0.000182,-0.020691071,0.001655613,0.007328128,-0.012816227
1995/2/13,0.000182,0.012495784,-0.004126383,-0.007688889,0.010031494
1995/2/14,0.000182,-0.001927331,-0.003392351,0.001979419,-0.00284955
1995/2/15,0.000182,-0.008586879,-0.001524294,0.00170997,-0.00387433
1995/2/16,0.000182,-0.011466685,0.000152739,0.00276145,-0.003886924
1995/2/17,0.000182,-0.007804349,6.53E-05,0.002954729,-0.005885585
1995/2/20,0.000182,0.00245269,-0.001456699,0.000743736,0.002763692
1995/2/21,0.000182,0.010633371,-0.002453118,-0.002960086,0.003179397
1995/2/22,0.000182,0.111777817,0.011839774,-0.008628485,0.015930409
1995/2/23,0.000182,-0.013225142,-0.003208521,-0.000309803,0.019947342
1995/2/24,0.000182,-0.057499603,0.003534948,0.009341689,-0.012285996
1995/2/27,0.000182,0.008128687,0.005355713,0.009286535,0.007452267
1995/2/28,0.000182,-0.021993823,-0.005232909,-0.000924006,-0.013487476
1995/3/1,0.000182,0.012466958,0.003695483,0.002150847,0.008864766
1995/3/2,0.000182,0.003828816,0.003794765,-0.005125865,0.003308619
1995/3/3,0.000182,0.029830023,0.004401604,-0.00550941,0.013870729
1995/3/6,0.000182,0.062424012,0.010446428,-0.006241429,0.02795249
1995/3/7,0.000182,0.037305069,-0.010951381,-0.014844139,-0.002638426
1995/3/8,0.000182,-0.014207045,-0.000636627,0.002407373,-0.01980038
1995/3/9,0.000182,-0.02482312,-0.00652415,0.001199373,0.00805502
1995/3/10,0.000182,-0.033622132,-0.004465125,0.005484137,-0.006201821
1995/3/13,0.000182,-0.001917864,0.004113556,0.000771342,0.004087276
1995/3/14,0.000182,0.004403161,-0.00225187,-0.002597872,0.00630059
1995/3/15,0.000182,-0.028758239,-0.001442822,0.002037357,-0.004405566
1995/3/16,0.000182,0.012743408,0.003844311,-0.001905699,0.004891282
1995/3/17,0.000182,0.023083269,6.60E-06,-0.005500722,0.011426106
1995/3/20,0.000182,-0.016366991,0.005598795,-0.007455546,0.007338348
1995/3/21,0.000182,0.009689821,0.002346304,-0.003589588,0.001433164
1995/3/22,0.000182,0.038715879,-0.001042227,-0.005345004,0.008084559
1995/3/23,0.000182,-0.006984495,0.000991652,-0.002151906,0.005720153
1995/3/24,0.000182,0.000781632,0.001004494,0.00247343,-0.002822145
1995/3/27,0.000182,0.024948627,0.003415606,-0.009149931,0.016622843
1995/3/28,0.000182,-0.008600635,-0.003787077,-0.002453184,0.002895942
1995/3/29,0.000182,0.01490656,0.005497683,0.003132276,0.00629456
1995/3/30,0.000182,-0.009841018,-0.007079047,-0.010817573,0.004060502
1995/3/31,0.000182,0.023927838,0.004073567,-0.009969278,0.010830373
1995/4/3,0.000182,0.018104831,-0.000276849,-0.004498594,0.005640038
1995/4/4,0.000182,0.002558113,0.001727008,-0.006710594,0.001337899
1995/4/5,0.000182,-0.017743114,-0.002783751,-0.002475891,-0.000878898
1995/4/6,0.000182,0.008804024,0.000569258,0.003767459,-0.000814761
1995/4/7,0.000182,0.013682393,-0.002733276,0.008690199,-0.011833278
1995/4/10,0.000182,-0.010845655,-0.001324894,0.002078329,-0.015077551
1995/4/11,0.000182,-0.032220152,-0.000263273,-0.005647269,0.01458509
1995/4/12,0.000182,0.010164847,-0.000509481,-0.006099924,0.011067023
1995/4/13,0.000182,-0.015276047,0.002097454,0.0019842,-0.002518619
1995/4/14,0.000182,0.00926803,0.000781254,-0.004309392,0.002466601
1995/4/17,0.000182,-0.012381643,-0.001322679,0.003964682,-0.00303912
1995/4/18,0.000182,-0.010147608,0.001886137,0.000424908,-0.003336298
1995/4/19,0.000182,0.006497063,0.004695246,0.002342992,0.001730751
1995/4/20,0.000182,0.019598876,0.00341621,-0.008534236,0.007370337
1995/4/21,0.000182,-0.013341878,-0.00415366,0.001165098,-0.003443989
1995/4/24,0.000182,-0.024966155,0.001453244,0.000967752,0.003380787
1995/4/25,0.000182,-4.75E-05,0.006826607,-0.004382182,0.005366646
1995/4/26,0.000182,-0.032335079,0.002825562,0.004722533,0.004188065
1995/4/27,0.000182,-0.047634097,-0.002949768,-0.005918122,0.005520108
1995/4/28,0.000182,0.015084171,0.002419903,0.002734985,-0.009656279
1995/5/2,0.000182,-0.001551766,-0.002661121,-0.007942642,0.007051579
1995/5/3,0.000182,-0.000976348,-0.00347435,-0.005406068,0.001982846
1995/5/4,0.000182,-0.014382007,-0.001246878,0.014240296,-0.008919192
1995/5/5,0.000182,0.004783271,0.000655386,-0.002635857,-0.000155983
1995/5/8,0.000182,-0.003597243,0.001710182,0.000947328,0.002617314
1995/5/9,0.000182,0.011838259,0.002207064,-0.004119258,0.001756576
1995/5/10,0.000182,-0.023645658,-0.003248276,-0.002134128,0.002020043
1995/5/11,0.000182,0.005193281,0.003446238,-0.003642212,0.003092581
1995/5/12,0.000182,0.027343831,-0.00361819,-0.014910765,0.00931308
1995/5/15,0.000182,-0.004041924,-8.03E-05,-0.001881952,0.000376172
1995/5/16,0.000182,-0.00565551,0.001716754,-0.001198855,0.00139111
1995/5/17,0.000182,0.007464928,0.001966648,-0.003263328,0.001219441
1995/5/18,0.000182,0.302026763,-0.013611315,-0.024629095,0.053502904
1995/5/19,0.000182,0.114591628,0.020480623,-0.049846563,0.013725167
1995/5/22,0.000182,0.045737054,0.039053495,0.033106622,-0.06341976
1995/5/23,0.000182,-0.16950133,-0.007559579,-0.024557974,0.019130567
1995/5/24,0.000182,-0.009632196,0.002653935,0.015817231,0.000632467
1995/5/25,0.000182,-0.058247362,0.004066234,0.011630703,-0.010516605
1995/5/26,0.000182,0.039077516,-0.000489202,-0.016833234,0.01827039
1995/5/29,0.000182,-0.019981981,0.001205347,0.011896194,-0.007497912
1995/5/30,0.000182,-0.000500668,-0.000616163,-0.009945625,0.003168573
1995/5/31,0.000182,-0.014559483,-0.005853192,-0.002535387,0.003457049
1995/6/1,0.000182,0.011489387,0.007369627,-0.002604334,-0.002091321
1995/6/2,0.000182,0.008107729,0.000186713,-0.013272409,0.003755383
1995/6/5,0.000182,-0.032957012,-0.002363576,0.013240442,-0.006103003
1995/6/6,0.000182,-0.004083425,0.000941006,0.00277944,0.000957532
1995/6/7,0.000182,0.038381741,0.006154232,-0.00468738,-6.73E-05
1995/6/8,0.000182,-0.029707992,-0.000546322,0.002964545,-0.006711157
1995/6/9,0.000182,0.008922894,0.001900954,0.006916875,-0.007534747
1995/6/12,0.000182,-0.005418519,-0.007982718,0.024635977,-0.0125836
1995/6/13,0.000182,0.001459152,0.001980697,-0.003660967,0.001541992
1995/6/14,0.000182,-0.013019036,-0.003185244,-0.004364484,0.005702458
1995/6/15,0.000182,-0.05973905,-0.009775416,0.01840957,-0.009012922
1995/6/16,0.000182,0.000871318,0.004843271,0.001464804,-0.00057046
1995/6/19,0.000182,-0.010539825,0.000229926,0.006059418,-0.007763301
1995/6/20,0.000182,0.002458239,0.000537527,0.007833979,-0.004529693
1995/6/21,0.000182,0.017491998,0.008633898,0.003718016,-0.004679283
1995/6/22,0.000182,-0.009290302,-0.004364588,0.007686777,-0.003924967
1995/6/23,0.000182,0.009607292,0.002842888,-0.005599499,0.003175039
1995/6/26,0.000182,0.00673972,0.005659373,0.011926436,-0.007931882
1995/6/27,0.000182,-0.005609528,-0.006540809,0.003362799,-0.004451337
1995/6/28,0.000182,-0.003986964,0.002853359,0.000381354,-0.001163084
1995/6/29,0.000182,-0.004642344,-0.000606784,-0.00196651,-0.000931806
1995/6/30,0.000182,-0.019169675,0.001752908,-0.002358452,0.001660797
1995/7/3,0.000182,-0.026497762,-0.000320588,-0.004528483,0.001763867
1995/7/4,0.000182,0.011079025,0.006231019,-0.0093091,0.007709976
1995/7/5,0.000182,0.019970811,-0.000827981,-0.00916867,0.012062446
1995/7/6,0.000182,-0.002609521,0.00406758,0.006146583,-0.00286766
1995/7/7,0.000182,0.043127233,0.006744511,-0.003365914,0.011606195
1995/7/10,0.000182,-0.000417177,0.010403791,0.011538274,-0.006560123
1995/7/11,0.000182,-0.023368293,-0.007540122,6.31E-05,-0.002802966
1995/7/12,0.000182,-0.000645397,-0.001517925,0.001204494,0.000660413
1995/7/13,0.000182,0.011017422,-0.001943715,0.010367117,-0.004240469
1995/7/14,0.000182,-0.006686747,0.000566829,0.001332293,-0.003581326
1995/7/17,0.000182,0.054558025,-0.006518857,-0.010538471,0.019561844
1995/7/18,0.000182,0.017883379,-0.032870989,0.040668556,-0.014260121
1995/7/19,0.000182,-0.031136619,0.008397351,-0.017242073,-0.008445988
1995/7/20,0.000182,0.00118128,0.010051863,0.008842334,-0.017834224
1995/7/21,0.000182,0.003361147,-0.001431695,0.013322747,-0.008438733
1995/7/24,0.000182,0.020173957,-0.021264518,0.051280218,-0.019247954
1995/7/25,0.000182,-0.009363475,0.000566802,-0.018354304,0.007514938
1995/7/26,0.000182,-0.014056751,0.009114342,-0.025615329,0.01972553
1995/7/27,0.000182,0.009090867,-0.00442718,0.01455431,-0.008652701
1995/7/28,0.000182,-0.002743876,0.006970353,0.004181546,-0.001795668
1995/7/31,0.000182,0.000357925,0.00096454,-0.000388134,0.000110682
1995/8/1,0.000182,0.024640556,-0.007070004,-0.00415359,0.012600038
1995/8/2,0.000182,-0.016663146,-0.003175834,-0.008509218,0.000600572
1995/8/3,0.000182,0.005839897,-0.002635475,0.008780308,-0.007172234
1995/8/4,0.000182,0.007578027,-0.006327615,0.007637225,0.002215727
1995/8/7,0.000182,0.016271734,-0.00455696,0.019138837,-0.019331967
1995/8/8,0.000182,-0.005084323,-0.001134934,0.005616911,-0.009306721
1995/8/9,0.000182,0.005233512,0.005392359,0.024679113,-0.016611352
1995/8/10,0.000182,0.02036099,0.005279346,0.033570106,-0.014928175
1995/8/11,0.000182,0.016535119,-0.010389009,0.034195399,-0.03049416
1995/8/14,0.000182,0.04646704,0.016360434,0.009973019,-0.010871781
1995/8/15,0.000182,-0.031816942,0.002465619,0.010652392,0.005107942
1995/8/16,0.000182,0.0164496,-0.004290688,0.045400816,-0.023650938
1995/8/17,0.000182,0.009409953,0.002844464,0.000165596,-0.001460995
1995/8/18,0.000182,0.000632228,-0.005424258,0.007557538,-0.027975264
1995/8/21,0.000182,-0.023440493,-0.010736631,-0.003729031,0.00466756
1995/8/22,0.000182,-0.007805072,-0.002837088,-0.018402918,0.020821909
1995/8/23,0.000182,-0.018846207,-0.002854578,-0.034220829,0.032172347
1995/8/24,0.000182,0.006012822,-0.011019552,-0.005540331,-4.38E-06
1995/8/25,0.000182,-0.012878685,-0.002262198,-0.009471311,0.003090711
1995/8/28,0.000182,-0.004420928,-0.004303129,0.015435293,-0.005265863
1995/8/29,0.000182,-0.007665502,-0.00233164,0.005977423,0.004802198
1995/8/30,0.000182,-0.00821313,0.001906679,-0.000466011,-0.002508382
1995/8/31,0.000182,0.011817664,0.001233203,0.017729344,-0.011111793
1995/9/1,0.000182,0.004700474,0.000613692,0.001674036,-0.00251631
1995/9/4,0.000182,0.011605138,0.008176663,-0.00409854,0.004641026
1995/9/5,0.000182,0.001427775,-0.006984369,-0.012617776,0.008626187
1995/9/6,0.000182,0.01546253,0.008618871,0.021549695,-0.013706812
1995/9/7,0.000182,5.74E-05,-0.009005998,0.006047647,-0.00045634
1995/9/8,0.000182,-0.003864308,-0.006679597,-0.000481163,-0.000710616
1995/9/11,0.000182,0.029377243,-0.018231399,0.017934119,-0.007798971
1995/9/12,0.000182,-0.011464579,0.000781867,-0.000650515,-0.003196157
1995/9/13,0.000182,-0.00031354,-0.002162859,0.025743894,-0.006884492
1995/9/14,0.000182,-0.002937603,-0.001841952,0.021342183,-0.008709118
1995/9/15,0.000182,-0.001175511,-0.00202651,-0.011517774,0.008313373
1995/9/18,0.000182,0.003044031,-0.009130385,0.020109353,-0.003960237
1995/9/19,0.000182,-0.027601396,0.004050952,-0.010902353,0.006112332
1995/9/20,0.000182,-0.014541465,0.002826657,-0.002027425,0.001204945
1995/9/21,0.000182,0.006059602,0.001954178,0.0061168,-0.005162438
1995/9/22,0.000182,0.000290063,0.00024621,0.001018053,-0.000886523
1995/9/25,0.000182,-0.008751935,0.001447761,-0.00503406,-0.004174419
1995/9/26,0.000182,0.006792207,-0.001692927,0.002447936,0.001106172
1995/9/27,0.000182,-0.027612706,-0.001807331,0.014773643,-0.004499601
1995/9/28,0.000182,0.003310174,0.000994586,0.01218986,-0.005284076
1995/9/29,0.000182,0.015045651,0.003866271,0.001835118,-0.00380325
1995/10/4,0.000182,-0.007096222,-0.001115291,0.013653456,-0.003618941
1995/10/5,0.000182,0.009041521,0.001298524,-0.006643984,0.005886268
1995/10/6,0.000182,-0.007066535,-0.000492567,-0.003918335,-0.000118525
1995/10/9,0.000182,-0.020122341,-0.001202682,0.004167822,-0.002421551
1995/10/10,0.000182,-0.000608152,-0.000169705,0.00517066,0.005753167
1995/10/11,0.000182,0.001349748,0.005523532,0.026254603,0.011517826
1995/10/12,0.000182,-0.007249541,-0.000715096,0.010648888,-0.009245475
1995/10/13,0.000182,0.002782033,0.003182679,-0.020961304,-0.007006969
1995/10/16,0.000182,0.005145346,0.001059265,-0.004291023,-0.001294638
1995/10/17,0.000182,0.001371157,0.003604184,0.012189809,0.002133701
1995/10/18,0.000182,0.019164495,0.002145816,0.021529986,0.006273796
1995/10/19,0.000182,-0.018331244,-0.000538124,-0.013429681,-0.011171614
1995/10/20,0.000182,0.043524675,0.002227345,-0.01745169,-0.028189692
1995/10/23,0.000182,-0.004490953,0.009478907,0.00312069,0.002121228
1995/10/24,0.000182,-0.00267315,0.007326151,0.011661182,0.012806268
1995/10/25,0.000182,0.050794164,-0.002867127,-0.023061007,0.015254919
1995/10/26,0.000182,-0.035895725,-0.008999853,0.030762958,-0.008023617
1995/10/27,0.000182,-0.016369238,-0.001922887,0.002775593,0.011393325
1995/10/30,0.000182,-0.002628516,-0.005128889,0.007928301,0.018499871
1995/10/31,0.000182,-0.005814345,0.003165722,-0.000469655,0.002502742
1995/11/1,0.000182,0.012280893,4.19E-05,0.003232133,0.00600941
1995/11/2,0.000182,-0.003129093,-0.001820743,-0.002584528,-0.000811406
1995/11/3,0.000182,0.009234606,0.003615583,-0.005426387,-0.002824562
1995/11/6,0.000182,0.012522127,0.000880786,-0.002563301,-0.004002412
