date,RF,MKT,SMB,HML,RMW,CMA
1995/1/3,0.000182,-0.009724203,0.002345077,-0.001591784,-0.002720535,0.004846266
1995/1/4,0.000182,0.023003754,-0.004227837,0.006381524,0.006307216,-0.002501745
1995/1/5,0.000182,-0.009166381,-0.004134213,0.004423311,0.006626732,-0.005511609
1995/1/6,0.000182,-0.007825178,0.003025496,0.00637456,0.002077045,-0.009512457
1995/1/9,0.000182,-0.027511626,0.000596267,0.005851101,-0.013437276,0.007199459
1995/1/10,0.000182,-0.02841964,0.005105132,0.00273764,0.003591604,-0.003734266
1995/1/11,0.000182,0.006876973,-0.004561539,0.004080343,-0.010457479,0.000887061
1995/1/12,0.000182,-0.019656471,0.002481878,0.002309631,0.00051231,0.000154785
1995/1/13,0.000182,-0.009658379,0.002350441,-0.001668194,0.005300349,-0.008341569
1995/1/16,0.000182,-0.014318415,-0.006267771,-0.019724118,0.00768858,-0.001154056
1995/1/17,0.000182,-0.001752966,-0.002128765,0.002205323,-0.001589149,0.001572518
1995/1/18,0.000182,0.012601749,0.00158491,0.003554954,0.000278127,-0.003458884
1995/1/19,0.000182,-0.041592869,-0.006811426,0.004561878,0.006241833,-0.006229848
1995/1/20,0.000182,-0.000255691,0.002942359,-0.001464133,0.003319586,-0.00273151
1995/1/23,0.000182,-0.029827604,-0.003536533,-0.005710821,0.014370281,-0.013335333
1995/1/24,0.000182,-0.005546821,-0.000256714,0.003657002,0.012377142,-0.003666519
1995/1/25,0.000182,0.016003351,0.003999421,0.002120614,0.008007368,-0.000900651
1995/1/26,0.000182,-0.006812771,-0.003705021,-0.00314528,-0.000899449,-0.004656225
1995/1/27,0.000182,0.015444679,-0.002569964,-0.001141266,-0.003255193,0.002833125
1995/2/6,0.000182,-0.043923791,-0.002081085,0.018461748,0.029128928,-0.016351984
1995/2/7,0.000182,-0.004985398,-0.001000606,0.000896735,0.008426978,-0.00471655
1995/2/8,0.000182,0.001870737,0.000556191,0.001540767,0.001521383,-0.000956925
1995/2/9,0.000182,0.032808154,-0.007947467,-0.007420569,-0.020108706,0.017792897
1995/2/10,0.000182,-0.020691071,0.001394608,0.007328128,0.014685943,-0.006404681
1995/2/13,0.000182,0.012495784,-0.005035213,-0.007688889,-0.01069381,0.006819583
1995/2/14,0.000182,-0.001927331,-0.003460048,0.001979419,-0.001372973,-0.001407044
1995/2/15,0.000182,-0.008586879,-0.002267551,0.00170997,0.001753255,-0.003833205
1995/2/16,0.000182,-0.011466685,0.000521894,0.00276145,0.004047432,-0.009237809
1995/2/17,0.000182,-0.007804349,0.000507233,0.002954729,0.01046871,-0.005426096
1995/2/20,0.000182,0.00245269,-0.001268136,0.000743736,-0.002742479,0.004036465
1995/2/21,0.000182,0.010633371,-0.002827651,-0.002960086,-0.001625426,-0.000234821
1995/2/22,0.000182,0.111777817,0.00889818,-0.008628485,-0.020263824,0.017612286
1995/2/23,0.000182,-0.013225142,-0.00470319,-0.000309803,-0.027410599,0.018321638
1995/2/24,0.000182,-0.057499603,0.003350245,0.009341689,0.008750419,0.000160283
1995/2/27,0.000182,0.008128687,0.003117319,0.009286535,-0.008516658,0.008665831
1995/2/28,0.000182,-0.021993823,-0.003757456,-0.000924006,0.012743395,-0.015632451
1995/3/1,0.000182,0.012466958,0.00286719,0.002150847,-0.000405018,-0.000506308
1995/3/2,0.000182,0.003828816,0.003374589,-0.005125865,0.001008131,-0.009386266
