date,RF,MKT,SMB,HML
1995/5/15,0.000182,-0.004041924,-8.03E-05,-0.001881952
1995/5/16,0.000182,-0.00565551,0.001716754,-0.001198855
1995/5/17,0.000182,0.007464928,0.001966648,-0.003263328
1995/5/18,0.000182,0.302026763,-0.013611315,-0.024629095
1995/5/19,0.000182,0.114591628,0.020480623,-0.049846563
1995/5/22,0.000182,0.045737054,0.039053495,0.033106622
1995/5/23,0.000182,-0.16950133,-0.007559579,-0.024557974
1995/5/24,0.000182,-0.009632196,0.002653935,0.015817231
1995/5/25,0.000182,-0.058247362,0.004066234,0.011630703
1995/5/26,0.000182,0.039077516,-0.000489202,-0.016833234
1995/5/29,0.000182,-0.019981981,0.001205347,0.011896194
1995/5/30,0.000182,-0.000500668,-0.000616163,-0.009945625
1995/5/31,0.000182,-0.014559483,-0.005853192,-0.002535387
1995/6/1,0.000182,0.011489387,0.007369627,-0.002604334
1995/6/2,0.000182,0.008107729,0.000186713,-0.013272409
1995/6/5,0.000182,-0.032957012,-0.002363576,0.013240442
1995/6/6,0.000182,-0.004083425,0.000941006,0.00277944
1995/6/7,0.000182,0.038381741,0.006154232,-0.00468738
1995/6/8,0.000182,-0.029707992,-0.000546322,0.002964545
1995/6/9,0.000182,0.008922894,0.001900954,0.006916875
1995/6/12,0.000182,-0.005418519,-0.007982718,0.024635977
1995/6/13,0.000182,0.001459152,0.001980697,-0.003660967
1995/6/14,0.000182,-0.013019036,-0.003185244,-0.004364484
1995/6/15,0.000182,-0.05973905,-0.009775416,0.01840957
1995/6/16,0.000182,0.000871318,0.004843271,0.001464804
1995/6/19,0.000182,-0.010539825,0.000229926,0.006059418
1995/6/20,0.000182,0.002458239,0.000537527,0.007833979
1995/6/21,0.000182,0.017491998,0.008633898,0.003718016
1995/6/22,0.000182,-0.009290302,-0.004364588,0.007686777
1995/6/23,0.000182,0.009607292,0.002842888,-0.005599499
1995/6/26,0.000182,0.00673972,0.005659373,0.011926436
1995/6/27,0.000182,-0.005609528,-0.006540809,0.003362799
1995/6/28,0.000182,-0.003986964,0.002853359,0.000381354
1995/6/29,0.000182,-0.004642344,-0.000606784,-0.00196651
1995/6/30,0.000182,-0.019169675,0.001752908,-0.002358452
1995/7/3,0.000182,-0.026497762,-0.000320588,-0.004528483
1995/7/4,0.000182,0.011079025,0.006231019,-0.0093091
1995/7/5,0.000182,0.019970811,-0.000827981,-0.00916867
1995/7/6,0.000182,-0.002609521,0.00406758,0.006146583
1995/7/7,0.000182,0.043127233,0.006744511,-0.003365914
1995/7/10,0.000182,-0.000417177,0.010403791,0.011538274
1995/7/11,0.000182,-0.023368293,-0.007540122,6.31E-05
1995/7/12,0.000182,-0.000645397,-0.001517925,0.001204494
1995/7/13,0.000182,0.011017422,-0.001943715,0.010367117
1995/7/14,0.000182,-0.006686747,0.000566829,0.001332293
1995/7/17,0.000182,0.054558025,-0.006518857,-0.010538471
1995/7/18,0.000182,0.017883379,-0.032870989,0.040668556
1995/7/19,0.000182,-0.031136619,0.008397351,-0.017242073
1995/7/20,0.000182,0.00118128,0.010051863,0.008842334
1995/7/21,0.000182,0.003361147,-0.001431695,0.013322747
1995/7/24,0.000182,0.020173957,-0.021264518,0.051280218
1995/7/25,0.000182,-0.009363475,0.000566802,-0.018354304
1995/7/26,0.000182,-0.014056751,0.009114342,-0.025615329
1995/7/27,0.000182,0.009090867,-0.00442718,0.01455431
1995/7/28,0.000182,-0.002743876,0.006970353,0.004181546
1995/7/31,0.000182,0.000357925,0.00096454,-0.000388134
1995/8/1,0.000182,0.024640556,-0.007070004,-0.00415359
1995/8/2,0.000182,-0.016663146,-0.003175834,-0.008509218
1995/8/3,0.000182,0.005839897,-0.002635475,0.008780308
1995/8/4,0.000182,0.007578027,-0.006327615,0.007637225
1995/8/7,0.000182,0.016271734,-0.00455696,0.019138837
1995/8/8,0.000182,-0.005084323,-0.001134934,0.005616911
1995/8/9,0.000182,0.005233512,0.005392359,0.024679113
1995/8/10,0.000182,0.02036099,0.005279346,0.033570106
1995/8/11,0.000182,0.016535119,-0.010389009,0.034195399
1995/8/14,0.000182,0.04646704,0.016360434,0.009973019
1995/8/15,0.000182,-0.031816942,0.002465619,0.010652392
1995/8/16,0.000182,0.0164496,-0.004290688,0.045400816
1995/8/17,0.000182,0.009409953,0.002844464,0.000165596
1995/8/18,0.000182,0.000632228,-0.005424258,0.007557538
1995/8/21,0.000182,-0.023440493,-0.010736631,-0.003729031
1995/8/22,0.000182,-0.007805072,-0.002837088,-0.018402918
1995/8/23,0.000182,-0.018846207,-0.002854578,-0.034220829
1995/8/24,0.000182,0.006012822,-0.011019552,-0.005540331
1995/8/25,0.000182,-0.012878685,-0.002262198,-0.009471311
1995/8/28,0.000182,-0.004420928,-0.004303129,0.015435293
1995/8/29,0.000182,-0.007665502,-0.00233164,0.005977423
1995/8/30,0.000182,-0.00821313,0.001906679,-0.000466011
1995/8/31,0.000182,0.011817664,0.001233203,0.017729344
1995/9/1,0.000182,0.004700474,0.000613692,0.001674036
1995/9/4,0.000182,0.011605138,0.008176663,-0.00409854
1995/9/5,0.000182,0.001427775,-0.006984369,-0.012617776
1995/9/6,0.000182,0.01546253,0.008618871,0.021549695
1995/9/7,0.000182,5.74E-05,-0.009005998,0.006047647
1995/9/8,0.000182,-0.003864308,-0.006679597,-0.000481163
1995/9/11,0.000182,0.029377243,-0.018231399,0.017934119
1995/9/12,0.000182,-0.011464579,0.000781867,-0.000650515
1995/9/13,0.000182,-0.00031354,-0.002162859,0.025743894
1995/9/14,0.000182,-0.002937603,-0.001841952,0.021342183
1995/9/15,0.000182,-0.001175511,-0.00202651,-0.011517774
1995/9/18,0.000182,0.003044031,-0.009130385,0.020109353
1995/9/19,0.000182,-0.027601396,0.004050952,-0.010902353
1995/9/20,0.000182,-0.014541465,0.002826657,-0.002027425
1995/9/21,0.000182,0.006059602,0.001954178,0.0061168
1995/9/22,0.000182,0.000290063,0.00024621,0.001018053
1995/9/25,0.000182,-0.008751935,0.001447761,-0.00503406
1995/9/26,0.000182,0.006792207,-0.001692927,0.002447936
1995/9/27,0.000182,-0.027612706,-0.001807331,0.014773643
