date,RF,MKT
1995/8/9,0.000182,0.005233512
1995/8/10,0.000182,0.02036099
1995/8/11,0.000182,0.016535119
1995/8/14,0.000182,0.04646704
1995/8/15,0.000182,-0.031816942
1995/8/16,0.000182,0.0164496
1995/8/17,0.000182,0.009409953
1995/8/18,0.000182,0.000632228
1995/8/21,0.000182,-0.023440493
1995/8/22,0.000182,-0.007805072
1995/8/23,0.000182,-0.018846207
1995/8/24,0.000182,0.006012822
1995/8/25,0.000182,-0.012878685
1995/8/28,0.000182,-0.004420928
1995/8/29,0.000182,-0.007665502
1995/8/30,0.000182,-0.00821313
1995/8/31,0.000182,0.011817664
1995/9/1,0.000182,0.004700474
1995/9/4,0.000182,0.011605138
1995/9/5,0.000182,0.001427775
1995/9/6,0.000182,0.01546253
1995/9/7,0.000182,0.0000574
1995/9/8,0.000182,-0.003864308
1995/9/11,0.000182,0.029377243
1995/9/12,0.000182,-0.011464579
1995/9/13,0.000182,-0.00031354
1995/9/14,0.000182,-0.002937603
1995/9/15,0.000182,-0.001175511
1995/9/18,0.000182,0.003044031
1995/9/19,0.000182,-0.027601396
1995/9/20,0.000182,-0.014541465
1995/9/21,0.000182,0.006059602
1995/9/22,0.000182,0.000290063
1995/9/25,0.000182,-0.008751935
1995/9/26,0.000182,0.006792207
1995/9/27,0.000182,-0.027612706
1995/9/28,0.000182,0.003310174
1995/9/29,0.000182,0.015045651
1995/10/4,0.000182,-0.007096222
1995/10/5,0.000182,0.009041521
1995/10/6,0.000182,-0.007066535
1995/10/9,0.000182,-0.020122341
1995/10/10,0.000182,-0.000608152
1995/10/11,0.000182,0.001349748
1995/10/12,0.000182,-0.007249541
1995/10/13,0.000182,0.002782033
1995/10/16,0.000182,0.005145346
1995/10/17,0.000182,0.001371157
1995/10/18,0.000182,0.019164495
1995/10/19,0.000182,-0.018331244
1995/10/20,0.000182,0.043524675
1995/10/23,0.000182,-0.004490953
1995/10/24,0.000182,-0.00267315
1995/10/25,0.000182,0.050794164
1995/10/26,0.000182,-0.035895725
1995/10/27,0.000182,-0.016369238
1995/10/30,0.000182,-0.002628516
1995/10/31,0.000182,-0.005814345
1995/11/1,0.000182,0.012280893
1995/11/2,0.000182,-0.003129093
1995/11/3,0.000182,0.009234606
1995/11/6,0.000182,0.012522127
1995/11/7,0.000182,-0.006726816
1995/11/8,0.000182,-0.021814925
1995/11/9,0.000182,0.001037751
1995/11/10,0.000182,-0.004235827
1995/11/13,0.000182,-0.025405117
1995/11/14,0.000182,0.001072161
1995/11/15,0.000182,0.006239145
1995/11/16,0.000182,-0.012628048
1995/11/17,0.000182,-0.005380845
1995/11/20,0.000182,-0.000285713
1995/11/21,0.000182,0.004656713
1995/11/22,0.000182,-0.019480727
1995/11/23,0.000182,-0.005922094
1995/11/24,0.000182,0.001958177
1995/11/27,0.000182,-0.017332413
1995/11/28,0.000182,0.008074897
1995/11/29,0.000182,-0.015648061
1995/11/30,0.000182,-0.000659373
1995/12/1,0.000182,-0.008317209
1995/12/4,0.000182,0.001032223
1995/12/5,0.000182,0.00356378
1995/12/6,0.000182,-0.010586967
1995/12/7,0.000182,0.005364971
1995/12/8,0.000182,0.006481564
1995/12/11,0.000182,-0.022890625
1995/12/12,0.000182,0.017132161
1995/12/13,0.000182,-0.023181734
1995/12/14,0.000182,-0.0000791
1995/12/15,0.000182,-0.01458006
1995/12/18,0.000182,-0.020565757
1995/12/19,0.000182,-0.000382891
1995/12/20,0.000182,0.013861785
1995/12/21,0.000182,-0.00655983
1995/12/22,0.000182,-0.004107922
1995/12/25,0.000182,-0.023767674
1995/12/26,0.000182,-0.012312178
1995/12/27,0.000182,-0.003050947
1995/12/28,0.000182,-0.02191005
1995/12/29,0.000182,0.001899435
1996/1/2,0.000182,-0.03201287
1996/1/3,0.000182,0.005529692
1996/1/4,0.000182,0.026808491
1996/1/5,0.000182,-0.036676311
1996/1/8,0.000182,0.003196216
1996/1/9,0.000182,0.031800809
1996/1/10,0.000182,-0.02015967
1996/1/11,0.000182,-0.003235658
1996/1/12,0.000182,0.002997907
1996/1/15,0.000182,0.003245134
1996/1/16,0.000182,-0.004944029
1996/1/17,0.000182,-0.016527133
1996/1/18,0.000182,-0.034194249
1996/1/19,0.000182,0.00970467
1996/1/22,0.000182,-0.01389761
1996/1/23,0.000182,0.005513034
1996/1/24,0.000182,0.005300628
1996/1/25,0.000182,-0.002240227
1996/1/26,0.000182,0.011480253
1996/1/29,0.000182,0.006147427
1996/1/30,0.000182,0.00587129
1996/1/31,0.000182,0.006977526
1996/2/1,0.000182,-0.000339997
1996/2/2,0.000182,-0.003120575
1996/2/5,0.000182,-0.022011255
1996/2/6,0.000182,-0.003967101
1996/2/7,0.000182,0.004528559
1996/2/8,0.000182,-0.003737054
1996/2/9,0.000182,0.007196129
1996/2/12,0.000182,0.001601557
1996/2/13,0.000182,0.010767556
1996/2/14,0.000182,-0.002875547
1996/2/15,0.000182,0.015034784
1996/2/16,0.000182,0.028266589
1996/3/4,0.000182,0.079354313
1996/3/5,0.000182,-0.028826077
1996/3/6,0.000182,-0.043829275
1996/3/7,0.000182,0.016085727
1996/3/8,0.000182,0.008338119
1996/3/11,0.000182,-0.009894729
1996/3/12,0.000182,-0.006250683
1996/3/13,0.000182,-0.000930266
1996/3/14,0.000182,0.000344071
1996/3/15,0.000182,-0.000561526
1996/3/18,0.000182,0.008157546
1996/3/19,0.000182,-0.001998452
1996/3/20,0.000182,0.004175975
1996/3/21,0.000182,0.001046301
1996/3/22,0.000182,0.002435364
1996/3/25,0.000182,0.000455674
1996/3/26,0.000182,-0.010845602
1996/3/27,0.000182,-0.003205077
1996/3/28,0.000182,-0.012504357
1996/3/29,0.000182,0.005332392
1996/4/1,0.000182,0.017513547
1996/4/2,0.000182,-0.015662796
1996/4/3,0.000182,0.006339996
1996/4/4,0.000182,0.00721476
1996/4/5,0.000182,0.032563548
1996/4/8,0.000182,0.002406841
1996/4/9,0.000182,-0.005810716
1996/4/10,0.000182,0.003118558
1996/4/11,0.000182,0.008285529
1996/4/12,0.000182,0.008185216
1996/4/15,0.000182,0.00127511
1996/4/16,0.000182,0.014269808
1996/4/17,0.000182,0.001393948
1996/4/18,0.000182,0.015609937
1996/4/19,0.000182,0.021613001
1996/4/22,0.000182,-0.00058839
1996/4/23,0.000182,0.021034473
1996/4/24,0.000182,0.067478921
1996/4/25,0.000182,-0.025045158
1996/4/26,0.000182,0.095395898
1996/4/29,0.000182,0.055118246
1996/4/30,0.000182,-0.066561763
1996/5/2,0.000133,-0.038442492
1996/5/3,0.000133,-0.007087009
1996/5/6,0.000133,0.040944221
1996/5/7,0.000133,-0.011147829
1996/5/8,0.000133,-0.007241805
1996/5/9,0.000133,-0.012057606
1996/5/10,0.000133,0.002500664
1996/5/13,0.000133,0.018291114
1996/5/14,0.000133,-0.00357679
1996/5/15,0.000133,0.032668397
1996/5/16,0.000133,0.009147353
1996/5/17,0.000133,0.041657073
1996/5/20,0.000133,-0.009022753
1996/5/21,0.000133,-0.06608014
1996/5/22,0.000133,0.013182608
1996/5/23,0.000133,-0.04101599
1996/5/24,0.000133,-0.000454105
1996/5/27,0.000133,-0.005231915
1996/5/28,0.000133,0.011711317
1996/5/29,0.000133,0.014128107
1996/5/30,0.000133,-0.022199163
1996/5/31,0.000133,0.017146728
1996/6/3,0.000133,0.006012811
1996/6/4,0.000133,0.017662382
1996/6/5,0.000133,0.055046711
1996/6/6,0.000133,0.011034071
1996/6/7,0.000133,0.03605753
1996/6/10,0.000133,0.041926351
1996/6/11,0.000133,-0.00641402
1996/6/12,0.000133,0.010330795
1996/6/13,0.000133,0.023821974
1996/6/14,0.000133,0.000525284
1996/6/17,0.000133,-0.027316619
1996/6/18,0.000133,0.054047754
1996/6/19,0.000133,0.009759755
1996/6/20,0.000133,0.00038549
1996/6/21,0.000133,-0.001003661
1996/6/24,0.000133,0.006508806
1996/6/25,0.000133,-0.014369561
1996/6/26,0.000133,0.022134197
1996/6/27,0.000133,-0.000383735
1996/6/28,0.000133,-0.01392547
1996/7/1,0.000133,-0.053339749
1996/7/2,0.000133,0.002894634
1996/7/3,0.000133,0.036545071
1996/7/4,0.000133,0.004971814
1996/7/5,0.000133,0.00956285
1996/7/8,0.000133,0.035734675
1996/7/9,0.000133,0.019201743
1996/7/10,0.000133,0.010385871
1996/7/11,0.000133,-0.037337644
1996/7/12,0.000133,0.022486557
1996/7/15,0.000133,0.002829423
1996/7/16,0.000133,0.04181319
1996/7/17,0.000133,-0.023178215
1996/7/18,0.000133,0.027392978
1996/7/19,0.000133,0.042287644
1996/7/22,0.000133,0.033797318
1996/7/23,0.000133,-0.007088579
1996/7/24,0.000133,0.013794894
1996/7/25,0.000133,-0.026668566
1996/7/26,0.000133,-0.025734936
1996/7/29,0.000133,0.028105045
1996/7/30,0.000133,-0.019607726
1996/7/31,0.000133,-0.020000055
1996/8/1,0.000133,0.016014568
1996/8/2,0.000133,-0.005549904
1996/8/5,0.000133,0.018842089
1996/8/6,0.000133,0.011415104
1996/8/7,0.000133,0.012474815
1996/8/8,0.000133,0.007068626
1996/8/9,0.000133,-0.009374481
1996/8/12,0.000133,0.016357868
1996/8/13,0.000133,-0.008585395
1996/8/14,0.000133,-0.00452152
1996/8/15,0.000133,-0.010314288
1996/8/16,0.000133,-0.013172946
1996/8/19,0.000133,-0.025367639
1996/8/20,0.000133,-0.025565058
1996/8/21,0.000133,0.023822644
1996/8/22,0.000133,-0.021660848
1996/8/23,0.000091,-0.019114507
1996/8/26,0.000091,-0.038221215
1996/8/27,0.000091,0.020994564
1996/8/28,0.000091,0.021345139
1996/8/29,0.000091,-0.003061841
1996/8/30,0.000091,0.037050505
1996/9/2,0.000091,0.010706858
1996/9/3,0.000091,-0.012107365
1996/9/4,0.000091,0.01834117
1996/9/5,0.000091,-0.017171832
1996/9/6,0.000091,-0.014608493
1996/9/9,0.000091,-0.011759489
1996/9/10,0.000091,-0.037403915
1996/9/11,0.000091,0.011990097
1996/9/12,0.000091,-0.020079569
1996/9/13,0.000091,0.026652066
1996/9/16,0.000091,0.006567676
1996/9/17,0.000091,0.003595874
1996/9/18,0.000091,-0.032606759
1996/9/19,0.000091,0.012310562
1996/9/20,0.000091,0.038680689
1996/9/23,0.000091,0.040174161
1996/9/24,0.000091,0.004766915
1996/9/25,0.000091,-0.014804753
1996/9/26,0.000091,0.020362256
